date;day;month;quarter;year;week_of_year;day_of_week;is_weekend
2019-07-05;5;7;3;2019;27;5;False
2019-07-06;6;7;3;2019;27;6;True
2019-07-07;7;7;3;2019;27;7;True
2019-07-08;8;7;3;2019;28;1;False
2019-07-09;9;7;3;2019;28;2;False
2019-07-10;10;7;3;2019;28;3;False
2019-07-11;11;7;3;2019;28;4;False
2019-07-12;12;7;3;2019;28;5;False
2019-07-13;13;7;3;2019;28;6;True
2019-07-14;14;7;3;2019;28;7;True
2019-07-15;15;7;3;2019;29;1;False
2019-07-16;16;7;3;2019;29;2;False
2019-07-17;17;7;3;2019;29;3;False
2019-07-18;18;7;3;2019;29;4;False
2019-07-19;19;7;3;2019;29;5;False
2019-07-20;20;7;3;2019;29;6;True
2019-07-21;21;7;3;2019;29;7;True
2019-07-22;22;7;3;2019;30;1;False
2019-07-23;23;7;3;2019;30;2;False
2019-07-24;24;7;3;2019;30;3;False
2019-07-25;25;7;3;2019;30;4;False
2019-07-26;26;7;3;2019;30;5;False
2019-07-27;27;7;3;2019;30;6;True
2019-07-28;28;7;3;2019;30;7;True
2019-07-29;29;7;3;2019;31;1;False
2019-07-30;30;7;3;2019;31;2;False
2019-07-31;31;7;3;2019;31;3;False
2019-08-01;1;8;3;2019;31;4;False
2019-08-02;2;8;3;2019;31;5;False
2019-08-03;3;8;3;2019;31;6;True
2019-08-04;4;8;3;2019;31;7;True
2019-08-05;5;8;3;2019;32;1;False
2019-08-06;6;8;3;2019;32;2;False
2019-08-07;7;8;3;2019;32;3;False
2019-08-08;8;8;3;2019;32;4;False
2019-08-09;9;8;3;2019;32;5;False
2019-08-10;10;8;3;2019;32;6;True
2019-08-11;11;8;3;2019;32;7;True
2019-08-12;12;8;3;2019;33;1;False
2019-08-13;13;8;3;2019;33;2;False
2019-08-14;14;8;3;2019;33;3;False
2019-08-15;15;8;3;2019;33;4;False
2019-08-16;16;8;3;2019;33;5;False
2019-08-17;17;8;3;2019;33;6;True
2019-08-18;18;8;3;2019;33;7;True
2019-08-19;19;8;3;2019;34;1;False
2019-08-20;20;8;3;2019;34;2;False
2019-08-21;21;8;3;2019;34;3;False
2019-08-22;22;8;3;2019;34;4;False
2019-08-23;23;8;3;2019;34;5;False
2019-08-24;24;8;3;2019;34;6;True
2019-08-25;25;8;3;2019;34;7;True
2019-08-26;26;8;3;2019;35;1;False
2019-08-27;27;8;3;2019;35;2;False
2019-08-28;28;8;3;2019;35;3;False
2019-08-29;29;8;3;2019;35;4;False
2019-08-30;30;8;3;2019;35;5;False
2019-08-31;31;8;3;2019;35;6;True
2019-09-01;1;9;3;2019;35;7;True
2019-09-02;2;9;3;2019;36;1;False
2019-09-03;3;9;3;2019;36;2;False
2019-09-04;4;9;3;2019;36;3;False
2019-09-05;5;9;3;2019;36;4;False
2019-09-06;6;9;3;2019;36;5;False
2019-09-07;7;9;3;2019;36;6;True
2019-09-08;8;9;3;2019;36;7;True
2019-09-09;9;9;3;2019;37;1;False
2019-09-10;10;9;3;2019;37;2;False
2019-09-11;11;9;3;2019;37;3;False
2019-09-12;12;9;3;2019;37;4;False
2019-09-13;13;9;3;2019;37;5;False
2019-09-14;14;9;3;2019;37;6;True
2019-09-15;15;9;3;2019;37;7;True
2019-09-16;16;9;3;2019;38;1;False
2019-09-17;17;9;3;2019;38;2;False
2019-09-18;18;9;3;2019;38;3;False
2019-09-19;19;9;3;2019;38;4;False
2019-09-20;20;9;3;2019;38;5;False
